session_id,duration_ms,retries_used,confidence,tool_errors,evidence_sources_count,human_review_required
sim-001,20291,1,75,0,2,False
sim-002,16928,0,45,0,2,True
sim-003,13574,0,65,1,3,True
sim-004,21974,1,100,0,3,False
sim-005,13925,0,70,2,3,False
sim-006,14210,1,50,0,1,True
sim-007,9169,0,100,0,3,False
sim-008,11598,0,100,0,2,False
sim-009,9084,0,100,0,2,False
sim-010,12339,0,85,0,3,False
sim-011,11593,0,100,0,3,False
sim-012,20358,1,65,1,2,True
sim-013,13974,1,100,0,2,False
sim-014,10591,0,80,0,3,False
sim-015,9743,0,80,0,3,False
sim-016,16689,0,80,0,3,False
sim-017,11946,0,50,1,2,True
sim-018,15787,0,75,0,2,False
sim-019,17215,1,100,0,2,False
sim-020,11681,0,100,0,3,False
sim-021,11750,0,65,0,1,True
sim-022,17355,0,60,0,2,True
sim-023,14939,0,100,0,2,False
sim-024,13559,0,60,0,2,True
sim-025,9235,0,100,0,2,False
sim-026,15553,1,45,0,1,True
sim-027,14396,0,100,0,2,False
sim-028,14313,1,100,0,3,False
sim-029,17571,0,70,0,1,False
sim-030,9113,0,80,0,3,False
sim-031,14868,0,80,0,3,False
sim-032,14484,0,85,0,3,False
sim-033,16238,2,85,1,2,False
sim-034,10584,0,65,1,3,True
sim-035,17086,0,50,2,3,True
sim-036,12462,0,60,0,2,True
sim-037,8832,0,55,1,1,True
sim-038,15239,0,50,0,1,True
sim-039,14049,0,0,2,1,True
sim-040,17234,1,25,0,1,True
sim-041,15543,1,45,2,2,True
sim-042,20488,1,85,0,3,False
sim-043,15461,1,20,1,1,True
sim-044,14528,0,0,1,0,True
sim-045,25497,2,75,0,2,False
sim-046,17774,0,40,0,2,True
sim-047,8727,0,40,2,1,True
sim-048,13967,0,60,1,2,True
sim-049,20574,1,45,0,1,True
sim-050,16372,1,30,1,0,True
